what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1489365196585
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1489365196585
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1489365196585
java.specification.name,sysinfo,,,"Java Platform API Specification",1489365196585
java.specification.vendor,sysinfo,,,"Oracle Corporation",1489365196585
java.specification.version,sysinfo,,,"1.8",1489365196585
java.vendor,sysinfo,,,"Oracle Corporation",1489365196585
java.version,sysinfo,,,"1.8.0_121",1489365196585
java.vm.info,sysinfo,,,"mixed mode",1489365196585
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1489365196585
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1489365196585
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1489365196585
java.vm.specification.version,sysinfo,,,"1.8",1489365196585
java.vm.vendor,sysinfo,,,"Oracle Corporation",1489365196585
java.vm.version,sysinfo,,,"25.121-b13",1489365196585
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1489365196741
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1489365196788
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1489365196882
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1489365196929
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1489365196991
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1489365197038
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1489365197069
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1489365197413
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1489365197429
