what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489402363455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489402395029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489402422574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489402450050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489402452028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489402471238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489402490152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489402499708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1489402506267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489402509756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489402889600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489402894245
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489402901961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489402912750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489402930679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489402931548
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489402938258
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1489402945480
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489403016147
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489403044552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403050477
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403050586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489403075365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489403091271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489403253364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489403302099
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489403310069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403319022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403341572
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1489403344862
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489403355954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403362323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403365473
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489403367135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403371060
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403423046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403425906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403433478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403433981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403434808
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403434909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403435627
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403436993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403439113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403440381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403456617
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1489403459994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403462448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403473449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403474517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403777081
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489403779776
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1489403782831
closed,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489403782837
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489403784739
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1489403784739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403793472
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489403796549
opened,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1489403803361
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1489403803384
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489403815124
opened,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1489403816632
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1489403816686
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489403828677
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1489403829085
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1489403829137
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1489403834786
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1489403834786
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1489403837353
closed,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1489403837354
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489403838962
