what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234320419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234321779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234325154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234327904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234582611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234584939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234588986
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234658080
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490234665690
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1490234665909
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490234665971
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1490234669081
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490234669237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234673174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234686221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234688971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234761879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234763301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234768223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234772348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234795176
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490234796567
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1490234797098
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234802426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234806801
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1490234806817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234813676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234821489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1490234821505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234823848
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234885427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234890131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234897271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1490234897287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234898646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490234978366
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1490234983351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490235018258
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490235025492
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490235037102
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490235111868
