what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1490054208709
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1490054208725
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1490054209053
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1490054209085
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1490054209147
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1490054210381
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1490054210506
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1490054211506
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1490054211506
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1490054212069
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490054220116
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490054226288
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1490054234288
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1490054234913
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490054251538
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490054256288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490054408990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490054411412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490054420214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490054422251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490055046278
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490055048004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490055051634
error,log,,,"Failed to load properties file for project 'demoRadioButton3'",1490055091807
error,log,,,"Failed to load properties file for project 'demoRadioButton3'",1490055091809
error,log,,,"Failed to load properties file for project 'demoRadioButton3'",1490055095961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490055096011
