what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489078065861
opened,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1489078066239
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1489078066337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1489078076632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489078081335
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489078106168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489078229212
error,log,,,"Parser exception for F:\\Android\\workspace\\demoButton\\AndroidManifest.xml: Element type ""activity"" must be followed by either attribute specifications, "">"" or ""/>"".",1489078229338
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1489078229573
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1489078235239
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489078258682
error,log,,,"Parser exception for F:\\Android\\workspace\\demoButton\\AndroidManifest.xml: Element type ""activity"" must be followed by either attribute specifications, "">"" or ""/>"".",1489078258792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489078276789
error,log,,,"Parser exception for F:\\Android\\workspace\\demoButton\\AndroidManifest.xml: Element type ""activity"" must be followed by either attribute specifications, "">"" or ""/>"".",1489078276918
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1489078300713
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489078332021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489078335702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489078369912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1489078369930
error,log,,,"Parser exception for F:\\Android\\workspace\\demoButton\\AndroidManifest.xml: Element type ""activity"" must be followed by either attribute specifications, "">"" or ""/>"".",1489078370020
error,log,,,"Malformed manifest",1489078370098
opened,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489078370189
