what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1488814934814
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1488814934814
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1488814934814
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1488814934814
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1488814934814
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1488814934829
started,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1488814934829
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1488814934829
started,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1488814934829
os,sysinfo,,,"win32",1488814934845
arch,sysinfo,,,"x86_64",1488814934845
ws,sysinfo,,,"win32",1488814934845
locale,sysinfo,,,"zh_CN",1488814934845
processors,sysinfo,,,"4",1488814934845
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1488814934845
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1488814934845
java.specification.name,sysinfo,,,"Java Platform API Specification",1488814934845
java.specification.vendor,sysinfo,,,"Oracle Corporation",1488814934845
java.specification.version,sysinfo,,,"1.8",1488814934845
java.vendor,sysinfo,,,"Oracle Corporation",1488814934845
java.version,sysinfo,,,"1.8.0_121",1488814934845
java.vm.info,sysinfo,,,"mixed mode",1488814934845
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1488814934845
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1488814934845
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1488814934845
java.vm.specification.version,sysinfo,,,"1.8",1488814934845
