what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489386392825
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489386396822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489386403578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489386422493
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489386424769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489386427415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489386428970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489386431522
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489386434837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489386439823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489386466585
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489386468473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489386493074
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489386497772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489386502820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489386533885
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489386543916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489386554201
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489386558245
