what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390251998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1489390292178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489390294568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390295264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390307461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390382185
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1489390395195
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1489390395283
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390395375
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489390397655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390401272
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390413929
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489390413995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390424356
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489390428469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390431403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390433587
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489390436221
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489390437245
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489390437471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489390437601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489390437740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489390437871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489390438593
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390442446
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489390447303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390451499
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390462841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390464074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390501879
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489390503871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390508820
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489390523466
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390527655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390545216
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489390545271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390547753
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390701815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390707011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390709077
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390714227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390715755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390716984
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489390722044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390729511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390738100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390738559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390740800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390748016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390753381
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489390756123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489390759604
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390760929
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489390766284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390770153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390790201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390791639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390813861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390817433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390864591
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1489390866706
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1489390866823
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489390867671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489390875322
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489390875470
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1489390875652
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390878931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1489390886935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1489390891405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390892073
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390921703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390922841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390924897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489390926313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390941246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390955194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1489390975510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1489390977027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489390983267
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489391005171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489391020466
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489391082148
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489391092550
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1489391096132
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1489391111554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489391121889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489391131604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489391144062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489391145774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489391148357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489391154533
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1489391159369
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1489391172317
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1489391172346
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1489391172355
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1489391172404
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1489391172406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489391188363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489391188476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1489391280226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489391299529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1489391299693
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1489391300364
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1489391327523
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1489391332847
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1489391332849
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1489391332890
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1489391332890
