what,kind,bundleId,bundleVersion,description,time
closed,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490670510303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670513724
error,log,,,"Failed to load properties file for project 'demoTableLayout4'",1490670528024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670528055
opened,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490670540635
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490670540640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670554023
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490670557326
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490670559725
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670560490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670569668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670574832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670577492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1490670591663
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490670592490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670596867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670601319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670612598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670619968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670632112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670633161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670635887
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490670655682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490670656685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670670424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670672908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490670688758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490670690712
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670698911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670700952
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670709969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670718121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670719009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670719282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670723780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490670726018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490670730013
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670738990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490670740210
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490670741138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670741816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670747581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670748585
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1490670751888
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490670757885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490670759623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670764595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670765377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670769375
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490670775085
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490670791989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670804348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670805933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670813266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670829961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670842931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670850928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670852753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670868477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670887192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670888418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670888799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670889865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670890189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670890933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670900617
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490670907869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490670912421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490670915929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490670920159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670920886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670950577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670955044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490670956592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670970130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670973018
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490670982596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670986639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670988474
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490670996032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490670999476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671000576
activated,perspective,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.Perspective",1490671002240
activated,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.DeviceView",1490671003766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671008555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671029620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671041405
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671048676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671055760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671057590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671064754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671085063
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671087006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671089936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671092233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671103878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671106050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671197986
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1490671202446
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490671202454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671208411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671210080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671210699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671212390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671213578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671215273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671215910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671217245
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671219904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671239873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671241537
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490671243344
opened,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671248925
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671248979
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490671255999
opened,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671262746
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671262807
closed,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671264075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671300965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671309341
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490671310788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671314659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671317311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671317996
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671320230
activated,perspective,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.Perspective",1490671322344
activated,view,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms.views.DeviceView",1490671324532
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671333254
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1490671333262
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671333282
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490671334368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671337828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671740331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671743973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671748358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671751855
error,log,,,"Failed to load properties file for project 'demoGridLayout2'",1490671767002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671767039
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671769327
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671769347
closed,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671769348
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490671770113
closed,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671770113
opened,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671778838
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490671778843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490671791942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490671806490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490671810629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671814698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490671818870
