what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058143844
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1490058156599
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490058168748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058172775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1490058178896
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058188885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058210145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058213759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058213870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058214818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1490058217176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490058219370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490058220247
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490058221273
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490058221783
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058240024
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058246981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058249486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058251127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058253491
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1490058274257
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1490058275324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058289432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058295155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058305724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058363947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058384073
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058411043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058467370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058473493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058574315
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1490058588359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058609969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058612869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490058625880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058655149
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058661433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1490058666695
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1490058686898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1490058697932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058714930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058715097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1490058730202
