what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1488681101004
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1488681101030
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1488681102739
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1488681103670
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1488681103703
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1488681103717
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1488681103726
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1488681103746
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1488681103760
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1488681103778
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1488681103827
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1488681103863
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1488681103889
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1488681103909
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1488681103945
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1488681103956
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1488681103985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488681104634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488681139574
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1488681140644
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1488681140646
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1488681140686
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1488681140686
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1488681140994
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1488681145526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488681152035
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488681171681
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1488681174698
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488681183002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488681309651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488681322737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488681347895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1488681347901
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1488681347901
